,restaurant_name,type,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,opening_hours,database
2350,Schmidts Imbiss,Snacks/Fast food,european,Königsberger Straße 1 Lichterfelde 12207 Berlin,Königsberger Straße 1,12207,Lichterfelde,"52.42858, 13.32469",52.42858,13.32469,Mon-Fri: 10:00 - 19:00,here_maps
2351,Seven Grill bei Abi,Restaurant,middle eastern,Marienfelder Allee 137 Marienfelde 12277 Berlin,Marienfelder Allee 137,12277,Marienfelde,"52.41433, 13.36435",52.41433,13.36435,,here_maps
2352,Pizza Max,Restaurant,italian,Marienfelder Allee 61 Marienfelde 12277 Berlin,Marienfelder Allee 61,12277,Marienfelde,"52.42042, 13.36932",52.42042,13.36932,"Mon-Thu, Sun: 11:00 - 22:00 Fri, Sat: 11:00 - 23:00",here_maps
2353,Büllys Türckengrillstammplatzortohnek,Restaurant,middle eastern,Kranoldplatz 5 Lichterfelde 12209 Berlin,Kranoldplatz 5,12209,Lichterfelde,"52.42822, 13.32703",52.42822,13.32703,,here_maps
2354,Hauptstadt Gastronomieservice,Business/Industry,,Kirschweg 8 Altglienicke 12524 Berlin,Kirschweg 8,12524,Altglienicke,"52.40024, 13.53718",52.40024,13.53718,,here_maps
2355,Zum Bohnsdorfer Eck,Restaurant,european,Grünbergallee 101 Bohnsdorf 12526 Berlin,Grünbergallee 101,12526,Bohnsdorf,"52.39966, 13.54615",52.39966,13.54615,"Mon, Tue: 15:00 - 12:00 Wed-Sun: 11:30 - 12:00",here_maps
2356,Saigon China Imbiss,Restaurant,asian,Grünbergallee Bohnsdorf 12524 Berlin,Grünbergallee,12524,Bohnsdorf,"52.399766, 13.542343",52.399766,13.542343,,here_maps
2357,Siedlerkrug,Restaurant,european,Grünbergallee Bohnsdorf 12524 Berlin,Grünbergallee,12524,Bohnsdorf,"52.39934, 13.53923",52.39934,13.53923,,here_maps
2358,Doppeldecker,Restaurant,fastfood,Schwalbenweg 7 12529 Schönefeld,Schwalbenweg,12529,7,"52.39778, 13.53511",52.39778,13.53511,Mon-Fri: 17:00 - 23:00,here_maps
2359,Aviatik,Restaurant,european,Schwalbenweg 18 Bohnsdorf 12526 Berlin,Schwalbenweg 18,12526,Bohnsdorf,"52.39781, 13.53704",52.39781,13.53704,,here_maps
2360,Fero's Pizzeria,Restaurant,european,Schwalbenweg 7 12529 Schönefeld,Schwalbenweg,12529,7,"52.39778, 13.53511",52.39778,13.53511,Mon-Sun: 11:00 - 22:30,here_maps
2361,Pizzeria da Latto,Restaurant,italian,Coloniaallee 13 Altglienicke 12524 Berlin,Coloniaallee 13,12524,Altglienicke,"52.4035, 13.54229",52.4035,13.54229,Mon-Sun: 12:00 - 23:00,here_maps
2362,Bistro-Varna,Restaurant,,Paradiesstraße 212 Altglienicke 12526 Berlin,Paradiesstraße 212,12526,Altglienicke,"52.40404, 13.55976",52.40404,13.55976,,here_maps
2363,La Tettoia,Restaurant,,Waldstraße 55 Bohnsdorf 12526 Berlin,Waldstraße 55,12526,Bohnsdorf,"52.38905, 13.56811",52.38905,13.56811,,here_maps
2364,Pizzeria Monello,Restaurant,italian,Coloniaallee 13 Altglienicke 12524 Berlin,Coloniaallee 13,12524,Altglienicke,"52.4035, 13.54229",52.4035,13.54229,Mon-Sun: 12:00 - 22:00,here_maps
2365,Luise,Restaurant,european,KöniginLuiseStraße 40 Dahlem 14195 Berlin,KöniginLuiseStraße 40,14195,Dahlem,"52.45786, 13.29133",52.45786,13.29133,Mon-Sun: 10:00 - 13:00,here_maps
2366,Kantine im Julius-Kuhn-Institut,Restaurant,,KöniginLuiseStraße 19 Dahlem 14195 Berlin,KöniginLuiseStraße 19,14195,Dahlem,"52.45813, 13.29942",52.45813,13.29942,Mon-Fri: 07:00 - 15:00,here_maps
2367,"Esskultur, Restaurant und Beduinenzelt",Restaurant,international,Dahlem 14195 Berlin,,,,"52.45785, 13.29131",52.45785,13.29131,,here_maps
2368,Villa Rosa,Restaurant,,KöniginLuiseStraße 11 Dahlem 14195 Berlin,KöniginLuiseStraße 11,14195,Dahlem,"52.45864, 13.30271",52.45864,13.30271,Mon-Sun: 11:00 - 00:00,here_maps
2369,Esskultur,Restaurant,,Takustraße 38 Dahlem 14195 Berlin,Takustraße 38,14195,Dahlem,"52.45585, 13.29289",52.45585,13.29289,Mon-Sun: 10:00 - 18:00,here_maps
2370,Asia Snack Dahlem,Restaurant,asian,KöniginLuiseStraße 38 Dahlem 14195 Berlin,KöniginLuiseStraße 38,14195,Dahlem,"52.45787, 13.29278",52.45787,13.29278,"Mon-Fri: 10:00 - 22:00 Sat, Sun: 11:00 - 22:00",here_maps
2371,Piaggio,Restaurant,italian,KöniginLuiseStraße 44 Dahlem 14195 Berlin,KöniginLuiseStraße 44,14195,Dahlem,"52.45784, 13.29084",52.45784,13.29084,Mon-Sun: 12:00 - 23:59,here_maps
2372,Fabecks,Restaurant,european,Altensteinstraße 42 Dahlem 14195 Berlin,Altensteinstraße 42,14195,Dahlem,"52.45053, 13.29574",52.45053,13.29574,Mon-Sun: 11:00 - 00:00,here_maps
2373,Really Good Life,Restaurant,american,KöniginLuiseStraße 44 Dahlem 14195 Berlin,KöniginLuiseStraße 44,14195,Dahlem,"52.45784, 13.29084",52.45784,13.29084,Mon-Sun: 08:00 - 21:00,here_maps
2374,Papillon,Restaurant,european,Takustraße 39 Dahlem 14195 Berlin,Takustraße 39,14195,Dahlem,"52.45695, 13.29344",52.45695,13.29344,Mon-Sun: 06:00 - 23:00,here_maps
2375,Das Cafe in der Gartenakademie,Restaurant,european,Altensteinstraße 15A Dahlem 14195 Berlin,Altensteinstraße 15A,14195,Dahlem,"52.45606, 13.29943",52.45606,13.29943,Tue-Sat: 10:00 - 19:00 Sun: 10:00 - 16:00,here_maps
2376,Eis Zeit,Restaurant,,KöniginLuiseStraße 41A Dahlem 14195 Berlin,KöniginLuiseStraße 41A,14195,Dahlem,"52.45828, 13.29135",52.45828,13.29135,,here_maps
2377,Botanischer Garten,Recreation,european,Unter den Eichen 5 Lichterfelde 12203 Berlin,Unter den Eichen 5,12203,Lichterfelde,"52.45192, 13.31035",52.45192,13.31035,,here_maps
2378,Loch Ness Scottish Pub & Whisky Bar,Bar/Pub,european,Roonstraße 31 Lichterfelde 12203 Berlin,Roonstraße 31,12203,Lichterfelde,"52.44681, 13.31116",52.44681,13.31116,"Tue-Thu: 17:00 - 00:00 Fri, Sat: 17:00 - 01:00",here_maps
2379,Taverna Kretamos,Restaurant,mediterranean,Gardeschützenweg 68 Lichterfelde 12203 Berlin,Gardeschützenweg 68,12203,Lichterfelde,"52.44678, 13.30632",52.44678,13.30632,Tue-Sat: 12:00 - 22:00,here_maps
2380,Alter Krug,Restaurant,mediterranean,KöniginLuiseStraße 52 Dahlem 14195 Berlin,KöniginLuiseStraße 52,14195,Dahlem,"52.45789, 13.28818",52.45789,13.28818,Mon-Sun: 10:00 - 23:00,here_maps
2381,Englers Restaurant,Restaurant,european,Englerallee 42 Dahlem 14195 Berlin,Englerallee 42,14195,Dahlem,"52.45911, 13.30442",52.45911,13.30442,Mon-Sun: 09:00 - 00:00,here_maps
2382,Pesetas,Restaurant,mediterranean,Unter den Eichen 112 Lichterfelde 12203 Berlin,Unter den Eichen 112,12203,Lichterfelde,"52.44886, 13.30329",52.44886,13.30329,Mon-Sat: 17:00 - 00:00,here_maps
2383,La Favorita,Restaurant,european,Habelschwerdter Allee 23 Dahlem 14195 Berlin,Habelschwerdter Allee 23,14195,Dahlem,"52.44863, 13.29086",52.44863,13.29086,"Mon-Thu, Sat: 17:00 - 23:59 Fri: 23:59 - 23:59 Sun: 12:00 - 22:00",here_maps
2384,Non la,Restaurant,,Grunewaldstraße 28 Steglitz 12165 Berlin,Grunewaldstraße 28,12165,Steglitz,"52.46011, 13.30945",52.46011,13.30945,"Mon-Fri, Sun: 12:00 - 22:00 Sat: 15:00 - 22:00",here_maps
2385,Coffee Station,Restaurant,,Thielallee Dahlem 14195 Berlin,Thielallee,14195,Dahlem,"52.449588, 13.285762",52.449588,13.285762,,here_maps
2386,Hee Lam Mun,Restaurant,,Grunewaldstraße 23 Steglitz 12165 Berlin,Grunewaldstraße 23,12165,Steglitz,"52.45994, 13.31219",52.45994,13.31219,Mon-Sun: 12:00 - 23:59,here_maps
2387,Cafe Kauderwelsch,Restaurant,mediterranean,Habelschwerdter Allee 45 Dahlem 14195 Berlin,Habelschwerdter Allee 45,14195,Dahlem,"52.45103, 13.28802",52.45103,13.28802,Mon-Fri: 09:00 - 19:00 Sat: 09:30 - 17:00,here_maps
2388,Chirag,Restaurant,asian,Unter den Eichen 42 Lichterfelde 12203 Berlin,Unter den Eichen 42,12203,Lichterfelde,"52.44957, 13.30272",52.44957,13.30272,Mon-Sun: 11:30 - 00:00,here_maps
2389,Veggie No. 1 - die Grüne Mensa,Restaurant,vegetarian or vegan,VantHoffStraße 6 Dahlem 14195 Berlin,VantHoffStraße 6,14195,Dahlem,"52.44694, 13.28327",52.44694,13.28327,Mon: 08:00 - 17:30 Tue-Fri: 08:00 - 18:00,here_maps
2390,Ristorante Galileo,Restaurant,,OttovonSimsonStraße 26 Dahlem 14195 Berlin,OttovonSimsonStraße 26,14195,Dahlem,"52.45292, 13.28804",52.45292,13.28804,Mon-Fri: 11:00 - 22:00,here_maps
2391,Tre-Stelle,Restaurant,international,Unter den Eichen 96 Lichterfelde 12205 Berlin,Unter den Eichen 96,12205,Lichterfelde,"52.44524, 13.29345",52.44524,13.29345,,here_maps
2392,Landhaus Botanischer Garten,Restaurant,european,Unter den Eichen Lichterfelde 12203 Berlin,Unter den Eichen,12203,Lichterfelde,"52.45229, 13.311127",52.45229,13.311127,,here_maps
2393,Landhaus Botanischer Garten,Restaurant,european,Unter den Eichen 5 Lichterfelde 12203 Berlin,Unter den Eichen 5,12203,Lichterfelde,"52.45192, 13.31035",52.45192,13.31035,Mon-Sun: 10:00 - 18:00,here_maps
2394,Erdal's Feinkost,Snacks/Fast food,vegetarian or vegan,Enzianstraße 2 Lichterfelde 12203 Berlin,Enzianstraße 2,12203,Lichterfelde,"52.44852, 13.30517",52.44852,13.30517,Mon-Fri: 07:00 - 19:00 Sat: 07:00 - 15:00,here_maps
2395,Cafeteria Fu Koserstraße,Restaurant,,Koserstraße 20 Dahlem 14195 Berlin,Koserstraße 20,14195,Dahlem,"52.46146, 13.29446",52.46146,13.29446,Mon-Thu: 08:00 - 15:30 Fri: 08:00 - 15:00,here_maps
2396,San Martin,Restaurant,steak,Habelschwerdter Allee 1 Dahlem 14195 Berlin,Habelschwerdter Allee 1,14195,Dahlem,"52.44625, 13.29354",52.44625,13.29354,Tue-Sun: 12:00 - 23:00,here_maps
2397,Coffee Cross,Coffee/Tea,,Thielallee 34 Dahlem 14195 Berlin,Thielallee 34,14195,Dahlem,"52.45316, 13.28652",52.45316,13.28652,"Mon-Fri: 08:00 - 19:00 Sat, Sun: 10:00 - 19:00",here_maps
2398,Il Buchetto,Restaurant,european,Tulpenstraße 20 Lichterfelde 12203 Berlin,Tulpenstraße 20,12203,Lichterfelde,"52.4509, 13.31022",52.4509,13.31022,"Mon, Wed-Sun: 09:00 - 20:00",here_maps
2399,Mensa Fu Pharmazie,Restaurant,,KöniginLuiseStraße 2 Steglitz 14195 Berlin,KöniginLuiseStraße 2,14195,Steglitz,"52.4588, 13.30601",52.4588,13.30601,Mon-Thu: 08:30 - 16:00 Fri: 08:00 - 14:30,here_maps
2400,Mensa Fu 2,Restaurant,,OttovonSimsonStraße 26 Dahlem 14195 Berlin,OttovonSimsonStraße 26,14195,Dahlem,"52.45292, 13.28804",52.45292,13.28804,"Mon-Fri: 08:00 - 19:00 Sat, Sun: 11:00 - 17:00",here_maps
2401,Die Oesteria,Restaurant,european,Enzianstraße 2 Lichterfelde 12203 Berlin,Enzianstraße 2,12203,Lichterfelde,"52.44852, 13.30517",52.44852,13.30517,Mon-Fri: 11:00 - 17:00 Sat: 10:00 - 14:00,here_maps
2402,Qwados,Going Out,,Unter den Eichen 97 Lichterfelde 12203 Berlin,Unter den Eichen 97,12203,Lichterfelde,"52.44562, 13.29468",52.44562,13.29468,"Mon-Thu: 16:00 - 12:00, 16:00 - 12:00, 16:00 - 00:00 Fri, Sat: 15:00 - 00:00 Sun: 16:00 - 00:00",here_maps
2403,La Mira,Restaurant,,Unter den Eichen 96 Lichterfelde 12205 Berlin,Unter den Eichen 96,12205,Lichterfelde,"52.44524, 13.29345",52.44524,13.29345,,here_maps
2404,Lauter Eis,Restaurant,breakfast/dessert,Hortensienstraße 12 Lichterfelde 12203 Berlin,Hortensienstraße 12,12203,Lichterfelde,"52.44854, 13.30639",52.44854,13.30639,"Mon: 14:00 - 19:00 Tue-Fri: 15:00 - 18:00 Sat, Sun: 12:00 - 19:00",here_maps
2405,Bestofkebap,Food & Drink,middle eastern,KöniginLuiseStraße 48 Dahlem 14195 Berlin,KöniginLuiseStraße 48,14195,Dahlem,"52.45793, 13.28959",52.45793,13.28959,,here_maps
2406,Miss Wu,Restaurant,asian,KöniginLuiseStraße 71 Dahlem 14195 Berlin,KöniginLuiseStraße 71,14195,Dahlem,"52.45904, 13.28298",52.45904,13.28298,Mon-Sun: 12:00 - 23:00,here_maps
2407,Silphion,Restaurant,european,Gardeschützenweg 68 Lichterfelde 12203 Berlin,Gardeschützenweg 68,12203,Lichterfelde,"52.44678, 13.30632",52.44678,13.30632,,here_maps
2408,Cafe Kauderwelsch,Restaurant,mediterranean,OttovonSimsonStraße 15 Dahlem 14195 Berlin,OttovonSimsonStraße 15,14195,Dahlem,"52.45425, 13.28842",52.45425,13.28842,Mon-Sat: 09:00 - 19:00,here_maps
2409,Reinelts Weinstube,Restaurant,european,Gardeschützenweg 88 Lichterfelde 12203 Berlin,Gardeschützenweg 88,12203,Lichterfelde,"52.44584, 13.30418",52.44584,13.30418,,here_maps
2410,Surprise,Restaurant,european,Gardeschützenweg 102 Lichterfelde 12203 Berlin,Gardeschützenweg 102,12203,Lichterfelde,"52.44522, 13.30269",52.44522,13.30269,,here_maps
2411,Kawa,Restaurant,vegetarian or vegan,Moltkestraße 1 Lichterfelde 12203 Berlin,Moltkestraße 1,12203,Lichterfelde,"52.44712, 13.30609",52.44712,13.30609,Mon-Fri: 07:30 - 17:30 Sat: 10:30 - 16:30,here_maps
2412,Mundgerecht,Restaurant,european,Paulsenstraße 5 Steglitz 12163 Berlin,Paulsenstraße 5,12163,Steglitz,"52.46148, 13.31183",52.46148,13.31183,Mon-Sun: 10:30 - 18:30,here_maps
2413,Jung Bluth,Restaurant,,Lepsiusstraße 63 Steglitz 12163 Berlin,Lepsiusstraße 63,12163,Steglitz,"52.46041, 13.31734",52.46041,13.31734,"Tue-Fri: 17:00 - 23:59 Sat, Sun: 12:00 - 23:59",here_maps
2414,Dokmai,Restaurant,asian,Muthesiusstraße 38 Steglitz 12163 Berlin,Muthesiusstraße 38,12163,Steglitz,"52.46024, 13.31755",52.46024,13.31755,Mon-Thu: 10:00 - 22:00 Fri: 10:00 - 23:00 Sat: 12:00 - 23:00 Sun: 14:00 - 20:00,here_maps
2415,Ristorante Matera,Restaurant,mediterranean,Birkbuschstraße 7 Steglitz 12165 Berlin,Birkbuschstraße 7,12165,Steglitz,"52.45244, 13.31988",52.45244,13.31988,"Mon-Thu, Sat, Sun: 12:00 - 23:59 Fri: 09:00 - 23:59",here_maps
2416,Con Co,Restaurant,asian,Schloßstraße 49 Steglitz 12165 Berlin,Schloßstraße 49,12165,Steglitz,"52.45415, 13.31716",52.45415,13.31716,"Mon-Fri: 12:00 - 23:00 Sat, Sun: 13:00 - 23:00",here_maps
2417,Romana,Restaurant,italian,Unter den Eichen 84 Lichterfelde 12205 Berlin,Unter den Eichen 84,12205,Lichterfelde,"52.44308, 13.28553",52.44308,13.28553,Mon-Sat: 11:00 - 12:00 Sun: 10:00 - 12:00,here_maps
2418,Madloba Ethno,Restaurant,european,Gardeschützenweg 139 Lichterfelde 12203 Berlin,Gardeschützenweg 139,12203,Lichterfelde,"52.44279, 13.29783",52.44279,13.29783,"Mon-Thu: 12:00 - 23:00 Fri: 12:00 - 00:00, 13:00 - 23:00 Sat: 12:00 - 12:00, 14:00 - 00:00 Sun: 11:00 - 00:00",here_maps
2419,Goodies,Restaurant,vegetarian or vegan,Schloßstraße Steglitz 12165 Berlin,Schloßstraße,12165,Steglitz,"52.45601, 13.32041",52.45601,13.32041,Mon-Fri: 10:00 - 20:00 Sat: 09:00 - 20:00,here_maps
2420,Tele Pizza,Restaurant,italian,Hindenburgdamm 78 Lichterfelde 12203 Berlin,Hindenburgdamm 78,12203,Lichterfelde,"52.44722, 13.31504",52.44722,13.31504,Mon-Sun: 11:00 - 23:00,here_maps
2421,S1 Burger,Snacks/Fast food,american,HansSachsStraße 4D Lichterfelde 12205 Berlin,HansSachsStraße 4D,12205,Lichterfelde,"52.44327, 13.29465",52.44327,13.29465,Mon-Sun: 11:30 - 21:30,here_maps
2422,Sombrero,Restaurant,mediterranean,Wrangelstraße 11 Steglitz 12165 Berlin,Wrangelstraße 11,12165,Steglitz,"52.45565, 13.31727",52.45565,13.31727,"Mon-Thu: 17:00 - 00:00 Fri, Sat: 17:00 - 21:00 Sun: 13:00 - 19:00",here_maps
2423,Eierschale Dahlem,Restaurant,italian,Podbielskiallee 50 Dahlem 14195 Berlin,Podbielskiallee 50,14195,Dahlem,"52.46441, 13.29753",52.46441,13.29753,"Mon-Sun: 09:00 - 02:30, 16:00 - 23:59",here_maps
2424,Peter Pane Berlin Schloß,Restaurant,european,Schloßstraße 34 Steglitz 12163 Berlin,Schloßstraße 34,12163,Steglitz,"52.45731, 13.320598",52.45731,13.320598,"Mon-Sat: 11:00 - 00:00, 11:00 - 21:30 Sun: 12:00 - 00:00, 12:00 - 21:30",here_maps
2425,La Fattoria,Restaurant,,Grunewaldstraße 8 Steglitz 12165 Berlin,Grunewaldstraße 8,12165,Steglitz,"52.45851, 13.31695",52.45851,13.31695,Mon-Sun: 11:30 - 23:59,here_maps
2426,Amar,Restaurant,asian,Schloßstraße 50 Steglitz 12165 Berlin,Schloßstraße 50,12165,Steglitz,"52.45405, 13.31684",52.45405,13.31684,Mon-Sun: 11:30 - 23:59,here_maps
2427,Indisches Restaurant Avtaar,Restaurant,asian,Lepsiusstraße 69 Steglitz 12163 Berlin,Lepsiusstraße 69,12163,Steglitz,"52.46005, 13.317",52.46005,13.317,Mon-Sun: 11:30 - 22:00,here_maps
2428,M&S Gemüsekebap,Restaurant,middle eastern,Hindenburgdamm 61 Lichterfelde 12203 Berlin,Hindenburgdamm 61,12203,Lichterfelde,"52.44899, 13.31564",52.44899,13.31564,Mon-Sun: 10:00 - 00:00,here_maps
2429,Asaki-Sushi,Restaurant,asian,Schloßstraße 66A Steglitz 12165 Berlin,Schloßstraße 66A,12165,Steglitz,"52.45368, 13.31693",52.45368,13.31693,"Tue-Fri: 11:45 - 22:00 Sat, Sun: 14:45 - 22:00",here_maps
2430,Felino,Restaurant,italian,Birkbuschstraße 7 Steglitz 12165 Berlin,Birkbuschstraße 7,12165,Steglitz,"52.45244, 13.31988",52.45244,13.31988,Mon-Sun: 12:00 - 23:30,here_maps
2431,Cafe Nepomuk,Coffee/Tea,european,Grunewaldstraße 6 Steglitz 12165 Berlin,Grunewaldstraße 6,12165,Steglitz,"52.45793, 13.3184",52.45793,13.3184,Mon-Sat: 11:00 - 23:00,here_maps
2432,Rothenburg-Eck,Bar/Pub,,Rothenburgstraße 41 Steglitz 12163 Berlin,Rothenburgstraße 41,12163,Steglitz,"52.45918, 13.31949",52.45918,13.31949,Mon-Sun: 10:00 - 23:59,here_maps
2433,Gonzales,Restaurant,italian,Hindenburgdamm 58B Lichterfelde 12203 Berlin,Hindenburgdamm 58B,12203,Lichterfelde,"52.44788, 13.31562",52.44788,13.31562,Mon-Sun: 11:00 - 23:00,here_maps
2434,Indian Dream,Eat & Drink,asian,Hindenburgdamm 57A Lichterfelde 12203 Berlin,Hindenburgdamm 57A,12203,Lichterfelde,"52.44625, 13.31564",52.44625,13.31564,"Mon-Thu, Sat, Sun: 11:30 - 23:00 Fri: 17:00 - 23:00",here_maps
2435,General Post Office,Restaurant,european,Zimmermannstraße 22 Steglitz 12163 Berlin,Zimmermannstraße 22,12163,Steglitz,"52.46117, 13.31825",52.46117,13.31825,Mon-Sun: 16:00 - 23:59,here_maps
2436,Nirwana,Restaurant,asian,Schloßstraße 49 Steglitz 12165 Berlin,Schloßstraße 49,12165,Steglitz,"52.45415, 13.31716",52.45415,13.31716,Mon-Sun: 11:00 - 12:00,here_maps
2437,La Castellana,Restaurant,european,Wrangelstraße 11 Steglitz 12165 Berlin,Wrangelstraße 11,12165,Steglitz,"52.45565, 13.31727",52.45565,13.31727,Mon-Sun: 12:00 - 12:00,here_maps
2438,Marinella,Restaurant,mediterranean,Unter den Eichen 94 Lichterfelde 12205 Berlin,Unter den Eichen 94,12205,Lichterfelde,"52.4446, 13.29171",52.4446,13.29171,Tue-Sun: 11:30 - 12:00,here_maps
2439,Schweizerweine,Wine & Spirits,,Viktoriastraße 9 Lichterfelde 12203 Berlin,Viktoriastraße 9,12203,Lichterfelde,"52.44289, 13.30603",52.44289,13.30603,Mon-Thu: 09:00 - 18:00 Fri: 09:30 - 18:00,here_maps
2440,Hofcafe Betzhorn,Restaurant,,Am Schülerheim 6 Dahlem 14195 Berlin,Am Schülerheim 6,14195,Dahlem,"52.45765, 13.27942",52.45765,13.27942,"Sat, Sun: 14:00 - 18:00",here_maps
2441,Merida,Restaurant,mexican,Drakestraße 42 Lichterfelde 12205 Berlin,Drakestraße 42,12205,Lichterfelde,"52.4444, 13.29463",52.4444,13.29463,,here_maps
2442,Litehouse,Restaurant,european,Baseler Straße 10 Lichterfelde 12205 Berlin,Baseler Straße 10,12205,Lichterfelde,"52.44228, 13.2955",52.44228,13.2955,Mon-Sun: 09:00 - 00:00,here_maps
2443,SUBWAY,Snacks/Fast food,fastfood,HansSachsStraße 4 Lichterfelde 12205 Berlin,HansSachsStraße 4,12205,Lichterfelde,"52.44258, 13.29385",52.44258,13.29385,,here_maps
2444,Restaurant Brentano,Restaurant,european,Brentanostraße 7 Steglitz 12163 Berlin,Brentanostraße 7,12163,Steglitz,"52.46617, 13.30949",52.46617,13.30949,Tue-Sat: 16:00 - 23:30 Sun: 12:00 - 23:00,here_maps
2445,Siam Park,Restaurant,asian,Breitenbachplatz 8 Dahlem 14195 Berlin,Breitenbachplatz 8,14195,Dahlem,"52.46734, 13.30837",52.46734,13.30837,,here_maps
2446,Guo Guo Xiang,Restaurant,asian,Breitenbachplatz 8 Dahlem 14195 Berlin,Breitenbachplatz 8,14195,Dahlem,"52.46734, 13.30837",52.46734,13.30837,Mon-Sun: 11:30 - 20:30,here_maps
2447,Coffreez,Coffee/Tea,,HansSachsStraße 4D Lichterfelde 12205 Berlin,HansSachsStraße 4D,12205,Lichterfelde,"52.44327, 13.29465",52.44327,13.29465,,here_maps
2448,Nea Olympia,Restaurant,mediterranean,Unter den Eichen 88 Lichterfelde 12205 Berlin,Unter den Eichen 88,12205,Lichterfelde,"52.44376, 13.28944",52.44376,13.28944,Mon-Sun: 12:00 - 23:59,here_maps
2449,Vecchio Mulino,Restaurant,european,Drakestraße 36 Lichterfelde 12205 Berlin,Drakestraße 36,12205,Lichterfelde,"52.44488, 13.29497",52.44488,13.29497,Mon-Sat: 17:00 - 22:00,here_maps
2450,House of Mmi,Restaurant,american,Löhleinstraße Dahlem 14195 Berlin,Löhleinstraße,14195,Dahlem,"52.451234, 13.281803",52.451234,13.281803,Tue-Sun: 12:00 - 19:00,here_maps
2451,Santa Cafe,Restaurant,american,Breitenbachplatz 12 Dahlem 14195 Berlin,Breitenbachplatz 12,14195,Dahlem,"52.46708, 13.30781",52.46708,13.30781,"Mon-Fri, Sun: 09:00 - 00:00 Sat: 09:00 - 01:00",here_maps
2452,Il Tramonto,Restaurant,european,Hindenburgdamm 79 Lichterfelde 12203 Berlin,Hindenburgdamm 79,12203,Lichterfelde,"52.44671, 13.31501",52.44671,13.31501,,here_maps
2453,Curryimbiss U-Bhf Breitenbachplatz,Restaurant,european,Breitenbachplatz Dahlem 14195 Berlin,Breitenbachplatz,14195,Dahlem,"52.4669, 13.3086",52.4669,13.3086,Mon-Sat: 10:00 - 00:00 Sun: 12:00 - 23:00,here_maps
2454,Kristall 2 Restaurant,Restaurant,middle eastern,Drakestraße 33 Lichterfelde 12205 Berlin,Drakestraße 33,12205,Lichterfelde,"52.44302, 13.29701",52.44302,13.29701,"Mon-Fri: 09:00 - 12:00 Sat, Sun: 10:00 - 12:00",here_maps
2455,Ham-Restaurant Dahlem,Restaurant,,KöniginLuiseStraße 81 Dahlem 14195 Berlin,KöniginLuiseStraße 81,14195,Dahlem,"52.45943, 13.28099",52.45943,13.28099,"Mon-Thu: 08:00 - 23:00 Fri, Sat: 08:00 - 13:00 Sun: 09:00 - 23:00",here_maps
2456,Maria & Josef,Restaurant,european,HansSachsStraße 5 Lichterfelde 12205 Berlin,HansSachsStraße 5,12205,Lichterfelde,"52.44359, 13.29568",52.44359,13.29568,Mon-Sun: 12:00 - 22:00,here_maps
2457,Friedls Cafe,Restaurant,,LudwigBeckPlatz Lichterfelde 12203 Berlin,LudwigBeckPlatz,12203,Lichterfelde,"52.44258, 13.31173",52.44258,13.31173,,here_maps
2458,Bao,Restaurant,,Hindenburgdamm 57 Lichterfelde 12203 Berlin,Hindenburgdamm 57,12203,Lichterfelde,"52.44608, 13.31565",52.44608,13.31565,"Tue-Fri: 12:00 - 22:30 Sat, Sun: 12:30 - 22:30",here_maps
2459,Macedonia,Restaurant,european,HansSachsStraße 4F Lichterfelde 12205 Berlin,HansSachsStraße 4F,12205,Lichterfelde,"52.44336, 13.2952",52.44336,13.2952,Mon-Sun: 12:00 - 23:00,here_maps
2460,Noasushi,Restaurant,asian,Hindenburgdamm 54 Lichterfelde 12203 Berlin,Hindenburgdamm 54,12203,Lichterfelde,"52.44554, 13.31571",52.44554,13.31571,Mon-Sat: 11:30 - 23:00 Sun: 11:30 - 22:45,here_maps
2461,Mahal Express,Restaurant,asian,Schloßstraße 36 Steglitz 12163 Berlin,Schloßstraße 36,12163,Steglitz,"52.45742, 13.32086",52.45742,13.32086,,here_maps
2462,Madre's,Restaurant,european,Lepsiusstraße 69 Steglitz 12163 Berlin,Lepsiusstraße 69,12163,Steglitz,"52.46005, 13.317",52.46005,13.317,Mon-Sat: 16:00 - 23:59 Sun: 14:00 - 23:00,here_maps
2463,Domino's Pizza,Restaurant,italian,Siegfriedstraße 201 Lichtenberg 10365 Berlin,Siegfriedstraße 201,10365,Lichtenberg,"52.51515, 13.49828",52.51515,13.49828,Mon-Sun: 11:00 - 23:00,here_maps
2464,Ormado Kaffeehaus,Coffee/Tea,middle eastern,Einbecker Straße 18 Rummelsburg 10317 Berlin,Einbecker Straße 18,10317,Rummelsburg,"52.51023, 13.50133",52.51023,13.50133,Mon-Fri: 06:00 - 19:00 Sat: 08:00 - 19:00 Sun: 09:00 - 19:00,here_maps
2465,Don Giovanni,Restaurant,south american,Atzpodienstraße 12 Lichtenberg 10365 Berlin,Atzpodienstraße 12,10365,Lichtenberg,"52.51423, 13.49339",52.51423,13.49339,Mon-Sun: 11:00 - 12:00,here_maps
2466,Eiscafe Winkels,Restaurant,,Fanningerstraße 27 Lichtenberg 10365 Berlin,Fanningerstraße 27,10365,Lichtenberg,"52.51442, 13.49506",52.51442,13.49506,Mon-Fri: 09:00 - 22:00 Sat: 13:30 - 22:00 Sun: 10:00 - 22:00,here_maps
